Feature,Importance
water_binder_ratio,0.8053662794550377
age,0.12528673892492623
cement,0.013969370681100586
binder,0.013504612330579778
fine_agg,0.012491695726174973
coarse_agg,0.007145824151204935
superplasticizer,0.00526872266348584
silica_fume,0.0047162549611976185
flyash,0.003668549151465353
water,0.0035761508740047936
ggbs,0.0013494249743092482
limestone_powder,0.00134196070460959
temperature,0.0009841108083121683
nano_silica,0.0009018399148713425
quartz_powder,0.000413757060572015
is_uhpc,1.4707618147845017e-05
